source_path,public_path,match_basis,confidence,notes
Logos Immonation/33 - Immonation Facelift Logo-Grey.png,public/immonation-logo.png,visual-inspection-and-shared-geometry,verified-high,"Transparent web derivative with dark text; same 1698x326 geometry and logo artwork."
Logos Immonation/33 - Immonation Facelift Logo-Grey.png,public/immonation-logo-white-text.png,visual-inspection-and-shared-geometry,verified-high,"Transparent web derivative with light text; same 1698x326 geometry and logo artwork."
Logos Immonation/33 - Immonation Facelift Logo.svg,public/brand/immonation-mark.svg,generated-from-vector-master,verified-high,"Mark-only crop of the vector master (""Einzelnes I""); generated by scripts/generate-brand-assets.mjs."
Logos Immonation/33 - Immonation Facelift Logo.svg,public/brand/immonation-logo.svg,generated-from-vector-master,verified-high,"Vector logo with dark text; replaces public/immonation-logo.png in the header and hero."
Logos Immonation/33 - Immonation Facelift Logo.svg,public/brand/immonation-logo-inverse.svg,generated-from-vector-master,verified-high,"Vector logo with light text (#D4D6D6, sampled from the PNG it replaces) for dark grounds."
Auszeichnungen/Immowelt/Immowelt Partner Icon.png,public/images/partners/immowelt-business-partner.webp,perceptual-fingerprint,verified-high,"Resized WebP derivative; perceptual hash differs only by conversion noise."
Unternehmensgruppe Immonation/Dream Living/Dream Living GmbH Logo (2).png,public/images/partners/dream-living.webp,filename-and-visual-inspection,verified-high,"Web-ready Dream Living partner-logo derivative."
Unternehmensgruppe Immonation/IN Beteiligung GmbH/logo1.png,public/images/partners/in-beteiligung.webp,filename-and-visual-inspection,verified-high,"Web-ready IN Beteiligung partner-logo derivative."
Referenz Objekte/Deining/ETW Bürgermeister Keckl Str/11.jpg,public/images/references/deining-neubauwohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Erlangen/ETW Luise Kisselbach Str/_DSC3092.JPG,public/images/references/erlangen-eigentumswohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
