"id","site","feature","category","source_url","immonation_state","implementation_boundary","intent_status","observation_confidence","notes"
"IMP-01","ImmoPartner","Intent-based navigation for owners, buyers, renters, prices, and company proof","navigation","https://www.immopartner.de/","partial","candidate","pending","99","Immonation has a smaller seller-first mega menu."
"IMP-02","ImmoPartner","Separate seller pages for house, apartment, land, and apartment building","seller-content","https://www.immopartner.de/eigentuemer/verkaufen/","partial","candidate","pending","99","Immonation currently has a small typed service registry rather than the full seller taxonomy."
"IMP-03","ImmoPartner","Local property-price pages for Nürnberg, Fürth, and Erlangen","local-seo","https://www.immopartner.de/immobilienpreise/nuernberg/","missing","candidate-content-only","pending","99","Current market figures require an approved data source; local page structure can be evaluated separately."
"IMP-04","ImmoPartner","Interactive price atlas","market-data","https://www.immopartner.de/eigentuemer/immobilienpreise/preisatlas/","missing","external-excluded","pending","99","Embedded third-party market-data tool."
"IMP-05","ImmoPartner","Buyer finder using property details and contact capture","seller-conversion","https://www.immopartner.de/eigentuemer/verkaufen/haus/kaeuferfinder/","missing","external-excluded","pending","99","Real matching depends on CRM/search-customer data; mock matching is also excluded."
"IMP-06","ImmoPartner","Owner object-tracking portal","digital-service","https://www.immopartner.de/eigentuemer/verkaufen/objekttracking/","missing","external-excluded","pending","100","OnOffice-backed authenticated/embedded service."
"IMP-07","ImmoPartner","Filterable reference-property inventory","references","https://www.immopartner.de/unternehmen/referenzobjekte/","missing","candidate-after-approved-data","pending","99","Filters include property type, transaction type, text inputs, and sorting."
"IMP-08","ImmoPartner","Online property valuation entry","seller-conversion","https://www.immopartner.de/eigentuemer/verkaufen/haus/wert/","partial","candidate-static-flow-only","pending","99","Immonation has valuation content and a basic form but not the confirmed wizard."
"IMP-09","ImmoPartner","Consultation scheduling","seller-conversion","https://www.immopartner.de/eigentuemer/verkaufen/haus/immobiliensprechstunde/","partial","external-excluded","pending","98","Immonation has booking copy only; scheduling service integration is excluded."
"IMP-10","ImmoPartner","Matterport 360-degree demonstration","marketing-proof","https://www.immopartner.de/eigentuemer/verkaufen/haus/special-matterport-pro-3d-kamera/","partial","external-excluded","pending","99","The benefit can be described locally; an external Matterport experience is excluded."
"IMP-11","ImmoPartner","Current customer-review stream","trust","https://www.immopartner.de/","partial","external-excluded","pending","99","Live Google/review-provider integration is excluded. Approved static testimonials remain a separate candidate."
"IMP-12","ImmoPartner","Seller guide, blog, and topic-specific FAQs","content-resources","https://www.immopartner.de/eigentuemer/verkaufen/haus/fuer-privat/","partial","candidate","pending","99","Immonation has the routes but minimal content depth."
"DAH-01","DAHLER","Curated premium homepage with current listings and one property highlight","brand-presentation","https://www.dahlercompany.com/de","partial","candidate","pending","99","Feature concerns composition and hierarchy, not copying DAHLER styling."
